市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,LocName,lng,lat
国立市中１丁目,58,0,0,0,2,0,2,0,0,0,2,0,0,0,0,1,1,0,0,47,0,1,31,0,2,0,0,2,0,5,6,7,3,0,0,0,4,東京都/国立市/中/一丁目,139.44128,35.69751
国立市中２丁目,21,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,14,0,0,10,0,1,0,0,1,0,0,2,4,1,2,0,0,1,東京都/国立市/中/二丁目,139.44316,35.69357
国立市中３丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,東京都/国立市/中/三丁目,139.44286,35.68896
国立市西１丁目,23,0,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,14,0,0,12,1,0,0,0,0,0,0,1,6,3,1,0,0,2,東京都/国立市/西/一丁目,139.43333,35.69725
国立市西２丁目,15,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,7,0,0,0,0,2,0,0,3,1,0,0,0,0,1,東京都/国立市/西/二丁目,139.43484,35.693
国立市西３丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,東京都/国立市/西/三丁目,139.43663,35.68921
国立市北１丁目,42,0,0,0,3,0,1,1,1,0,2,0,0,0,0,2,0,0,0,34,0,0,10,0,0,0,2,1,1,15,5,3,1,0,0,0,2,東京都/国立市/北/一丁目,139.44614,35.69992
国立市北２丁目,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1,東京都/国立市/北/二丁目,139.43835,35.70009
国立市北３丁目,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,1,3,2,0,0,0,0,2,東京都/国立市/北/三丁目,139.4296,35.70153
国立市富士見台１丁目,34,0,0,0,3,0,2,1,0,0,4,0,0,0,1,3,0,0,0,24,0,0,15,0,0,0,0,0,0,4,5,3,0,1,0,0,2,東京都/国立市/富士見台/一丁目,139.44928,35.684
国立市富士見台２丁目,30,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,8,2,1,0,0,0,1,4,1,9,3,0,1,0,5,東京都/国立市/富士見台/二丁目,139.44347,35.68483
国立市富士見台３丁目,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1,4,0,0,0,0,0,0,1,2,3,0,0,0,0,3,東京都/国立市/富士見台/三丁目,139.43692,35.6868
国立市富士見台４丁目,17,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,2,3,1,2,0,0,0,東京都/国立市/富士見台/四丁目,139.43015,35.68816
国立市谷保,33,0,0,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,14,0,1,6,0,0,0,0,0,0,1,6,15,6,2,0,0,7,東京都/国立市/谷保,139.44524,35.67411
国立市谷保６丁目,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,2,東京都/国立市/谷保/六丁目,139.44524,35.67411
国立市谷保７丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,東京都/国立市/谷保/七丁目,139.4487,35.67432
国立市青柳１丁目,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,2,東京都/国立市/青柳/一丁目,139.42418,35.68533
国立市青柳２丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,東京都/国立市/青柳/二丁目,139.42348,35.68207
国立市青柳３丁目,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,2,0,5,2,0,0,0,3,東京都/国立市/青柳/三丁目,139.42073,35.68531
国立市泉１丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,東京都/国立市/泉/一丁目,139.43628,35.67316
国立市泉２丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,3,0,1,0,0,2,東京都/国立市/泉/二丁目,139.43005,35.67316
国立市泉３丁目,12,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,1,0,1,0,0,0,2,1,3,2,0,0,0,1,東京都/国立市/泉/三丁目,139.42569,35.67952
国立市泉４丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,東京都/国立市/泉/四丁目,139.43163,35.677
福生市本町,36,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,10,1,1,0,0,0,0,9,2,9,3,3,0,0,3,東京都/福生市/本町,139.32832,35.7399
福生市志茂,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,3,東京都/福生市/志茂,139.33015,35.73668
福生市牛浜,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,8,0,0,0,0,0,0,5,2,6,1,3,0,0,2,東京都/福生市/牛浜,139.33353,35.73468
福生市武蔵野台１丁目,24,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,12,0,0,0,0,0,0,1,1,5,2,1,0,0,2,東京都/福生市/武蔵野台/一丁目,139.33289,35.74862
福生市武蔵野台２丁目,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,8,1,0,0,0,1,0,0,2,1,1,0,0,0,0,東京都/福生市/武蔵野台/二丁目,139.32971,35.74884
