市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,LocName,lng,lat
千代田区丸の内１丁目,466,0,0,0,64,0,52,10,1,1,1,1,0,0,0,0,0,0,0,318,0,0,6,1,2,0,53,0,41,102,113,83,33,19,7,0,24,東京都/千代田区/丸の内/一丁目,139.7672,35.68156
千代田区丸の内２丁目,51,0,0,0,3,0,0,2,1,0,1,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,3,0,2,22,8,12,5,3,1,0,3,東京都/千代田区/丸の内/二丁目,139.76344,35.68002
千代田区丸の内３丁目,38,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,29,0,0,3,1,0,0,1,0,1,10,13,7,3,1,2,0,1,東京都/千代田区/丸の内/三丁目,139.76347,35.67695
千代田区大手町１丁目,79,0,0,0,17,0,15,1,1,0,1,0,0,0,0,0,0,0,1,41,1,1,7,0,0,1,4,0,3,8,16,20,4,3,0,0,13,東京都/千代田区/大手町/一丁目,139.76393,35.68807
千代田区大手町２丁目,25,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,4,0,0,1,5,7,5,0,0,0,2,東京都/千代田区/大手町/二丁目,139.76808,35.6863
千代田区内幸町１丁目,43,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,0,2,10,12,15,11,0,0,0,4,東京都/千代田区/内幸町/一丁目,139.75812,35.67084
千代田区内幸町２丁目,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,東京都/千代田区/内幸町/二丁目,139.75418,35.67081
千代田区有楽町１丁目,125,0,0,0,15,0,7,8,0,0,0,0,0,0,0,0,0,0,0,97,0,0,5,0,0,0,7,0,15,34,36,13,7,3,0,0,3,東京都/千代田区/有楽町/一丁目,139.76054,35.67448
千代田区有楽町２丁目,157,1,1,0,9,0,9,0,0,0,1,0,0,0,1,0,0,0,0,129,0,0,3,0,0,0,4,0,6,79,37,17,8,2,2,0,5,東京都/千代田区/有楽町/二丁目,139.76282,35.67389
千代田区霞が関１丁目,27,1,0,1,7,0,3,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,15,2,0,3,0,10,東京都/千代田区/霞が関/一丁目,139.75256,35.67394
千代田区霞が関２丁目,22,0,0,0,8,0,6,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,3,0,2,0,2,6,0,0,1,0,5,東京都/千代田区/霞が関/二丁目,139.75041,35.67555
千代田区霞が関３丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,東京都/千代田区/霞が関/三丁目,139.74699,35.67183
千代田区永田町１丁目,23,0,0,0,7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,5,0,0,0,8,2,0,0,0,0,2,東京都/千代田区/永田町/一丁目,139.74631,35.6759
千代田区永田町２丁目,26,0,0,0,9,0,2,2,4,1,1,1,0,0,0,0,0,0,0,10,0,0,2,0,0,0,5,0,0,0,3,6,1,1,0,0,4,東京都/千代田区/永田町/二丁目,139.74123,35.67505
千代田区隼町,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,1,東京都/千代田区/隼町,139.74341,35.68131
千代田区平河町１丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,東京都/千代田区/平河町/一丁目,139.73999,35.68258
千代田区平河町２丁目,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,2,4,3,0,0,0,1,東京都/千代田区/平河町/二丁目,139.7401,35.68037
千代田区麹町１丁目,7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,東京都/千代田区/麹町/一丁目,139.74292,35.68445
千代田区麹町２丁目,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,1,3,2,0,0,0,1,東京都/千代田区/麹町/二丁目,139.74051,35.68449
千代田区麹町３丁目,9,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,東京都/千代田区/麹町/三丁目,139.73843,35.68451
千代田区麹町４丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,1,東京都/千代田区/麹町/四丁目,139.73669,35.68364
千代田区麹町５丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,1,東京都/千代田区/麹町/五丁目,139.73419,35.68368
千代田区麹町６丁目,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,東京都/千代田区/麹町/六丁目,139.73193,35.68491
千代田区紀尾井町,29,0,0,0,5,0,2,2,1,0,2,0,1,0,1,0,0,0,0,14,0,0,0,0,0,0,2,0,0,1,11,8,2,0,2,0,4,東京都/千代田区/紀尾井町,139.73495,35.68141
千代田区一番町,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,2,1,0,0,3,東京都/千代田区/一番町,139.74152,35.68735
千代田区二番町,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,東京都/千代田区/二番町,139.73613,35.68618
千代田区三番町,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,3,0,1,0,1,東京都/千代田区/三番町,139.74359,35.69056
千代田区四番町,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,東京都/千代田区/四番町,139.73785,35.68906
千代田区五番町,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,0,5,2,0,0,1,0,1,東京都/千代田区/五番町,139.73399,35.68969
千代田区六番町,6,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,東京都/千代田区/六番町,139.7334,35.68749
千代田区皇居外苑,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,東京都/千代田区/皇居外苑,139.75847,35.67994
千代田区日比谷公園,11,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,3,3,0,0,0,0,3,東京都/千代田区/日比谷公園,139.7562,35.67389
千代田区北の丸公園,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,3,1,2,0,0,0,東京都/千代田区/北の丸公園,139.75163,35.69156
千代田区九段南１丁目,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,2,0,2,1,2,3,1,1,1,0,0,東京都/千代田区/九段南/一丁目,139.75327,35.69397
千代田区九段南２丁目,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,2,3,1,1,0,0,1,東京都/千代田区/九段南/二丁目,139.7457,35.69314
千代田区九段南３丁目,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,7,2,1,0,0,4,東京都/千代田区/九段南/三丁目,139.74229,35.69243
千代田区九段南４丁目,12,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,1,1,2,4,1,0,0,0,3,東京都/千代田区/九段南/四丁目,139.73868,35.69125
千代田区九段北１丁目,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,1,0,0,1,2,1,1,0,0,0,0,東京都/千代田区/九段北/一丁目,139.75066,35.69666
千代田区九段北２丁目,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,東京都/千代田区/九段北/二丁目,139.74635,35.69526
千代田区九段北３丁目,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,3,東京都/千代田区/九段北/三丁目,139.74268,35.69417
千代田区九段北４丁目,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,1,0,0,2,0,11,10,0,0,0,1,東京都/千代田区/九段北/四丁目,139.73904,35.69315
千代田区富士見１丁目,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,3,2,1,0,0,0,東京都/千代田区/富士見/一丁目,139.74698,35.69787
千代田区富士見２丁目,31,0,0,0,1,0,0,1,0,0,2,0,1,0,1,0,0,0,0,20,0,0,5,1,0,0,0,0,1,1,12,8,2,2,0,0,4,東京都/千代田区/富士見/二丁目,139.74306,35.69813
千代田区飯田橋１丁目,6,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,東京都/千代田区/飯田橋/一丁目,139.74942,35.69847
千代田区飯田橋２丁目,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,3,2,2,0,0,0,0,東京都/千代田区/飯田橋/二丁目,139.75056,35.69921
千代田区飯田橋３丁目,14,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,1,2,0,0,0,1,0,0,0,7,1,1,0,0,0,0,東京都/千代田区/飯田橋/三丁目,139.74863,35.70139
千代田区飯田橋４丁目,28,0,0,0,5,0,5,0,0,0,2,0,0,0,2,0,0,0,0,16,0,0,5,0,0,0,5,0,2,0,4,5,1,2,0,0,2,東京都/千代田区/飯田橋/四丁目,139.7467,35.70089
千代田区一ツ橋１丁目,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,東京都/千代田区/一ツ橋/一丁目,139.75713,35.69119
千代田区一ツ橋２丁目,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,東京都/千代田区/一ツ橋/二丁目,139.75734,35.69317
千代田区神田神保町１丁目,45,0,0,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,37,0,0,4,0,1,0,0,0,0,27,5,5,3,0,0,0,2,東京都/千代田区/神田神保町/一丁目,139.75908,35.69649
千代田区神田神保町２丁目,32,0,0,0,5,0,1,4,0,0,2,1,0,0,0,1,0,0,0,17,0,0,2,1,1,0,1,0,3,4,5,8,2,1,1,0,4,東京都/千代田区/神田神保町/二丁目,139.75645,35.69664
千代田区神田神保町３丁目,10,0,0,0,3,0,3,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,2,東京都/千代田区/神田神保町/三丁目,139.75427,35.69537
千代田区神田三崎町１丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,東京都/千代田区/神田三崎町/一丁目,139.75642,35.7006
千代田区神田三崎町２丁目,37,1,1,0,11,0,10,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,0,0,0,3,0,2,1,12,2,1,0,0,0,1,東京都/千代田区/神田三崎町/二丁目,139.75435,35.70076
千代田区神田三崎町３丁目,12,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,3,0,3,2,0,0,0,0,2,東京都/千代田区/神田三崎町/三丁目,139.75226,35.70054
千代田区西神田１丁目,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,東京都/千代田区/西神田/一丁目,139.75716,35.69941
千代田区西神田２丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,東京都/千代田区/西神田/二丁目,139.75526,35.6988
千代田区西神田３丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,東京都/千代田区/西神田/三丁目,139.75333,35.69802
千代田区神田猿楽町１丁目,7,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,3,1,0,1,0,1,東京都/千代田区/神田猿楽町/一丁目,139.76036,35.69844
千代田区神田猿楽町２丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,東京都/千代田区/神田猿楽町/二丁目,139.75923,35.6997
千代田区神田駿河台１丁目,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,4,5,1,0,0,0,0,1,東京都/千代田区/神田駿河台/一丁目,139.76244,35.698
千代田区神田駿河台２丁目,40,0,0,0,9,0,6,3,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,1,0,0,0,0,6,4,7,8,2,1,0,0,5,東京都/千代田区/神田駿河台/二丁目,139.76201,35.70007
千代田区神田駿河台３丁目,16,0,0,0,5,0,2,3,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8,2,3,0,0,3,東京都/千代田区/神田駿河台/三丁目,139.76472,35.69673
千代田区神田駿河台４丁目,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,2,5,4,1,0,1,0,0,0,東京都/千代田区/神田駿河台/四丁目,139.76585,35.69859
千代田区神田錦町１丁目,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,東京都/千代田区/神田錦町/一丁目,139.76416,35.69175
千代田区神田錦町２丁目,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,東京都/千代田区/神田錦町/二丁目,139.76305,35.69199
千代田区神田錦町３丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,東京都/千代田区/神田錦町/三丁目,139.76073,35.69233
千代田区神田小川町１丁目,25,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,9,6,5,1,2,0,0,2,東京都/千代田区/神田小川町/一丁目,139.76642,35.69473
千代田区神田小川町２丁目,18,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,2,11,1,2,1,0,0,0,1,東京都/千代田区/神田小川町/二丁目,139.76445,35.69469
千代田区神田小川町３丁目,24,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,4,0,0,0,1,0,2,10,2,3,0,2,0,0,1,東京都/千代田区/神田小川町/三丁目,139.76241,35.6954
千代田区神田美土代町,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,東京都/千代田区/神田美土代町,139.76558,35.69328
千代田区内神田１丁目,12,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,3,3,1,0,1,0,1,東京都/千代田区/内神田/一丁目,139.76561,35.69058
千代田区内神田２丁目,15,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,6,0,0,2,0,0,0,0,0,2,0,2,6,1,2,0,0,3,東京都/千代田区/内神田/二丁目,139.76802,35.6906
千代田区内神田３丁目,41,0,0,0,12,0,6,6,0,0,2,0,0,0,2,0,0,0,0,18,0,0,6,0,0,0,1,0,1,0,10,9,3,0,0,0,6,東京都/千代田区/内神田/三丁目,139.76965,35.69101
千代田区神田司町２丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,2,東京都/千代田区/神田司町/二丁目,139.76752,35.69346
千代田区神田多町２丁目,12,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,9,0,0,2,0,3,0,0,0,0,4,0,1,0,1,0,0,0,東京都/千代田区/神田多町/二丁目,139.7692,35.69386
千代田区神田淡路町１丁目,8,0,0,0,2,0,1,0,1,0,3,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,東京都/千代田区/神田淡路町/一丁目,139.76703,35.69576
千代田区神田淡路町２丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,東京都/千代田区/神田淡路町/二丁目,139.76784,35.69752
千代田区神田須田町１丁目,31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,4,0,0,0,1,0,0,13,5,7,3,2,0,0,2,東京都/千代田区/神田須田町/一丁目,139.76984,35.69622
千代田区神田須田町２丁目,14,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,8,0,0,4,1,1,0,0,0,0,0,2,4,1,3,0,0,0,東京都/千代田区/神田須田町/二丁目,139.77306,35.69582
千代田区外神田１丁目,334,3,3,0,29,0,22,6,0,1,1,0,0,0,1,0,0,0,0,258,0,0,7,3,1,0,29,0,41,78,99,43,14,12,1,0,16,東京都/千代田区/外神田/一丁目,139.77089,35.69841
千代田区外神田２丁目,11,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,1,0,0,0,4,2,1,0,0,0,1,東京都/千代田区/外神田/二丁目,139.76855,35.70068
千代田区外神田３丁目,67,0,0,0,6,0,4,1,0,1,3,0,0,0,3,0,0,0,0,41,0,0,3,1,0,0,1,0,0,20,16,17,7,3,0,0,7,東京都/千代田区/外神田/三丁目,139.77049,35.70127
千代田区外神田４丁目,133,0,0,0,5,0,3,0,1,1,0,0,0,0,0,0,0,0,0,106,0,0,4,2,0,0,6,0,5,60,29,22,9,2,2,0,9,東京都/千代田区/外神田/四丁目,139.77237,35.70143
千代田区外神田５丁目,12,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,9,0,0,3,1,1,0,0,0,0,0,4,0,0,0,0,0,0,東京都/千代田区/外神田/五丁目,139.77237,35.70402
千代田区外神田６丁目,25,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,14,0,0,2,0,1,0,0,0,0,4,7,9,5,3,0,0,1,東京都/千代田区/外神田/六丁目,139.77097,35.70407
千代田区鍛冶町１丁目,19,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12,0,0,2,0,1,0,0,0,0,1,8,5,4,0,1,0,0,東京都/千代田区/鍛冶町/一丁目,139.77155,35.6902
千代田区鍛冶町２丁目,81,0,0,0,13,0,10,3,0,0,0,0,0,0,0,0,0,0,0,49,0,1,11,0,0,0,2,1,6,1,27,19,5,4,0,0,10,東京都/千代田区/鍛冶町/二丁目,139.77202,35.69258
千代田区神田鍛冶町３丁目,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,3,0,0,2,0,4,1,0,1,0,2,東京都/千代田区/神田鍛冶町/三丁目,139.77098,35.69361
千代田区神田紺屋町,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,1,東京都/千代田区/神田紺屋町,139.77423,35.69202
千代田区神田富山町,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,東京都/千代田区/神田富山町,139.77359,35.69367
千代田区岩本町１丁目,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,1,2,1,1,0,0,0,東京都/千代田区/岩本町/一丁目,139.77763,35.69234
千代田区岩本町２丁目,19,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,13,0,0,9,0,1,0,0,0,0,1,2,3,1,1,1,0,0,東京都/千代田区/岩本町/二丁目,139.77693,35.69353
千代田区岩本町３丁目,14,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,3,4,1,3,0,0,0,東京都/千代田区/岩本町/三丁目,139.77693,35.69564
千代田区神田西福田町,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,東京都/千代田区/神田西福田町,139.77425,35.69133
千代田区神田東松下町,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,東京都/千代田区/神田東松下町,139.77357,35.69424
千代田区神田岩本町,12,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,1,0,4,0,3,0,0,1,東京都/千代田区/神田岩本町,139.77501,35.69551
千代田区東神田１丁目,9,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,東京都/千代田区/東神田/一丁目,139.7805,35.69433
千代田区東神田２丁目,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,2,8,4,1,0,0,3,東京都/千代田区/東神田/二丁目,139.78015,35.69619
千代田区東神田３丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,東京都/千代田区/東神田/三丁目,139.78137,35.69736
千代田区神田和泉町,27,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,2,0,0,0,0,0,1,6,11,0,3,0,0,8,東京都/千代田区/神田和泉町,139.77791,35.6997
千代田区神田佐久間町１丁目,68,0,0,0,13,0,10,3,0,0,0,0,0,0,0,0,0,0,0,39,0,0,7,0,0,0,5,0,4,11,12,16,5,3,0,0,8,東京都/千代田区/神田佐久間町/一丁目,139.77422,35.69798
千代田区神田佐久間町２丁目,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,3,1,1,0,0,1,東京都/千代田区/神田佐久間町/二丁目,139.77637,35.69801
千代田区神田佐久間町３丁目,17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,6,1,0,0,1,1,0,0,1,6,2,0,0,0,4,東京都/千代田区/神田佐久間町/三丁目,139.77794,35.69798
千代田区神田佐久間町４丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,東京都/千代田区/神田佐久間町/四丁目,139.77983,35.69766
千代田区神田平河町,18,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,1,0,11,1,0,0,0,0,1,東京都/千代田区/神田平河町,139.77565,35.69804
千代田区神田松永町,15,1,0,1,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,8,0,0,3,1,0,0,0,0,1,0,3,3,2,0,0,0,1,東京都/千代田区/神田松永町,139.7753,35.70031
千代田区神田花岡町,54,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,44,0,0,11,0,0,0,0,0,2,19,12,7,4,1,2,0,0,東京都/千代田区/神田花岡町,139.77397,35.6988
千代田区神田佐久間河岸,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,東京都/千代田区/神田佐久間河岸,139.7778,35.69705
千代田区神田練塀町,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,1,0,0,0,1,7,2,1,0,0,4,東京都/千代田区/神田練塀町,139.77403,35.70071
千代田区神田相生町,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,6,1,0,1,0,0,0,東京都/千代田区/神田相生町,139.77361,35.69952
中央区銀座１丁目,42,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,32,0,0,11,3,0,0,0,0,3,4,11,8,1,1,0,0,6,東京都/中央区/銀座/一丁目,139.77029,35.67363
中央区銀座２丁目,62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,0,2,0,2,0,4,20,21,11,3,1,1,0,6,東京都/中央区/銀座/二丁目,139.76813,35.67291
中央区銀座３丁目,112,1,1,0,5,0,5,0,0,0,2,1,0,0,1,0,0,0,0,87,0,0,4,0,0,0,1,0,1,67,14,17,7,1,3,0,6,東京都/中央区/銀座/三丁目,139.76724,35.67197
中央区銀座４丁目,142,1,0,1,14,0,10,2,1,1,4,0,0,3,1,0,0,0,0,110,0,0,3,1,0,0,6,0,1,73,26,13,4,0,0,0,9,東京都/中央区/銀座/四丁目,139.76625,35.67117
中央区銀座５丁目,75,1,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,56,0,0,6,1,0,0,2,0,3,31,13,15,2,3,1,0,9,東京都/中央区/銀座/五丁目,139.76549,35.67011
中央区銀座６丁目,143,4,2,2,7,0,5,2,0,0,1,0,0,0,0,0,0,0,1,125,0,0,2,1,0,0,3,0,3,89,27,6,2,1,0,0,3,東京都/中央区/銀座/六丁目,139.76443,35.66926
中央区銀座７丁目,79,4,0,4,17,0,11,5,1,0,1,0,0,0,1,0,0,0,0,44,0,0,2,0,0,0,3,0,7,7,25,13,1,1,0,0,11,東京都/中央区/銀座/七丁目,139.76338,35.66844
